time,i_value,j_value,latitude,longitude,u_west_to_east_wind,v_south_to_north_wind,temprature,relative_humidity,vertical_velocity,pressure,water_vapour,turbulent_kinatic_energy,precipitation_rate,sensible_heat_flux,latent_heat_flux,tracer_concentration
17.6,16,44,33.257,-81.676,-4.03932,1.52272,22.73428,52.21093,22.78329,1009.13391,9.15116,1.29854,285.27863,-9.20667,1.15e-12,1
17.0,38,36,33.249,-81.654,-4.51387,2.30077,21.61028,57.39517,-27.36368,1008.16846,9.38779,1.15548,358.38492,12.3025,1.23e-11,1
17.5,18,16,33.229,-81.674,-5.7555,3.75742,22.16123,52.35229,-110.40952,1009.40948,8.85246,0.93575,321.61179,83.62674,0.0,0
14.9,40,37,33.25,-81.652,-5.51072,0.807,19.54535,72.84095,91.58155,1009.70496,10.4415,1.37677,136.36099,-3.25954,5.37e-09,1
16.5,76,67,33.28,-81.616,-3.90696,0.08175,20.32328,70.5779,14.97041,1009.69281,10.62864,1.56948,364.87488,-0.57887,0.0,0
13.9,13,44,33.257,-81.679,-7.36811,2.62974,18.48579,77.30118,-48.10076,1010.82831,10.34509,0.9853,254.26215,8.21852,2.94e-11,1
13.9,43,61,33.274,-81.649,-5.69369,1.83986,18.78009,75.71148,-5.39267,1012.33789,10.30903,1.56974,146.59541,5.03678,0.0,0
15.3,17,46,33.259,-81.675,-5.36797,0.72652,19.95509,70.74842,-0.44404,1010.90765,10.39606,1.02671,172.83968,-5.63931,1.01e-12,1
18.0,22,48,33.261,-81.67,-5.00762,-1.1897,22.74855,52.24064,-18.87004,1010.71918,9.15103,1.03741,441.54895,33.23083,3.62e-12,1
16.5,14,43,33.256,-81.678,-6.16826,1.54463,21.01031,61.17057,-20.37685,1009.75208,9.61977,0.8249,263.08749,23.19278,3.45e-12,1
16.1,60,60,33.273,-81.632,-2.83562,0.27805,20.69157,68.68027,67.56551,1010.40649,10.57861,1.37387,149.60892,1.75949,0.0,0
15.3,19,40,33.253,-81.673,-6.3468,2.52963,19.75072,69.32361,-28.35466,1009.74866,10.06724,0.68087,265.85272,3.13033,2.68e-10,1
